Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
      3166;1991-2020;        42;      -1.2;       -.8;       2.3;         7;      11.2;      14.4;      16.4;      16.2;        12;       7.6;         3;       -.2;       7.3;
      3167;1991-2020;        44;       -.2;        .4;       3.6;       7.8;      11.6;      14.6;      16.6;      16.4;      12.6;       8.1;       3.7;        .7;       7.9;
      3196;1991-2020;        51;        .9;       1.7;       4.2;       8.9;      13.2;      16.3;      18.4;        18;      14.1;       9.4;       4.9;         2;       9.3;
      3204;1991-2020;        51;        .3;        .9;       3.9;       8.1;      12.4;      15.8;      17.8;      17.4;      13.1;       8.8;       4.3;       1.2;       8.6;
      3211;1991-2020;        46;      -2.4;      -1.7;       1.6;       6.2;      10.8;        14;      15.6;      15.5;      11.2;       6.9;         2;      -1.4;       6.5;
      3212;1991-2020;        46;         2;       2.7;       5.9;       9.7;      13.5;      16.8;      18.7;      18.2;      14.2;       9.8;       5.7;       2.9;        10;
      3222;1991-2020;        46;       2.4;       2.9;       5.6;       9.8;      13.7;      16.7;      18.8;      18.5;      14.8;      10.3;       6.2;       3.2;      10.3;
      3223;1991-2020;        46;       1.1;       1.9;         6;      10.2;      14.4;        18;      19.7;      19.3;      14.9;      10.1;         5;       1.9;      10.2;
      3226;1991-2020;        42;       1.4;         2;         5;       9.5;      13.7;        17;      19.2;      18.9;      14.5;       9.8;       5.4;       2.3;       9.9;
      3228;1991-2020;        46;        .6;         1;         4;       7.8;      11.8;      14.7;      16.6;      16.2;      12.6;       8.6;       4.3;       1.3;       8.3;
      3231;1991-2020;        51;       -.5;        .2;       3.8;       8.4;      12.5;      15.7;      17.7;      17.4;        13;       8.2;       3.5;        .3;       8.3;
      3234;1991-2020;        42;        .9;       1.7;       4.8;       9.5;      13.9;      17.2;      19.2;        19;      14.4;       9.6;         5;         2;       9.8;
      3236;1991-2020;        46;       2.3;       2.7;       5.5;       9.5;      13.4;      16.4;      18.4;        18;      14.3;      10.1;         6;       3.1;        10;
      3244;1991-2020;        51;       -.4;        .3;       4.1;       8.1;      12.5;        16;      17.6;      17.2;      12.8;       8.6;       3.6;        .5;       8.4;
      3245;1991-2020;        46;       -.5;        .2;         4;       8.1;      12.6;      16.1;      17.8;      17.4;      12.9;       8.6;       3.6;        .4;       8.4;
      3246;1991-2020;        46;       2.3;         3;       6.2;      10.1;        14;      17.2;      19.2;      18.7;      14.7;      10.2;         6;         3;      10.4;
      3253;1991-2020;        46;        -1;       -.7;       2.5;       6.2;      10.1;      13.8;      15.5;      15.1;      11.2;       7.5;       2.9;         0;       6.9;
